text,label
The design displayed a message this morning.,neutral
"Overall, this tool is slow.",negative
I am frustrated by the experience.,negative
"Overall, this program is a big improvement.",positive
I recommend this tool.,positive
The workflow updated for ten minutes.,neutral
I absolutely do not enjoy the interface.,negative
I would not call the update bad at all.,positive
"Overall, the app is useful.",positive
This feature started during the test.,neutral
"Overall, the system is poorly designed.",negative
The product was installed yesterday.,neutral
I absolutely prefer the experience.,positive
The design is bad.,negative
I absolutely really like this tool.,positive
I absolutely am frustrated by the system.,negative
"Overall, this tool is a mess.",negative
This tool opened this morning.,neutral
This feature is better than I expected.,positive
"Overall, the app is helpful.",positive
The workflow closed during the test.,neutral
The app ran at nine o clock.,neutral
The service ran for ten minutes.,neutral
"Overall, the system is useful.",positive
"I almost gave up on the terminal interface, but it turned out great.",positive
"I tried to like this software, but it is terrible.",negative
The design finished after the update.,neutral
I prefer the app.,positive
This tool loaded during the test.,neutral
The experience displayed a message after lunch.,neutral
"Overall, the service is poorly designed.",negative
The app is helpful.,positive
I absolutely appreciate the app.,positive
The service started this morning.,neutral
This tool updated without an error.,neutral
I absolutely feel good about the design.,positive
The update updated during the test.,neutral
This feature displayed a message for ten minutes.,neutral
This feels worse after the update.,negative
This application ran after lunch.,neutral
The interface ran yesterday.,neutral
The experience displayed a message at nine o clock.,neutral
The update is useful.,positive
"Overall, this software is disappointing.",negative
The design closed yesterday.,neutral
This tool finished after the update.,neutral
This feature closed after the update.,neutral
"Overall, the product is hard to use.",negative
The terminal interface opened this morning.,neutral
The app is disappointing.,negative
I absolutely would not recommend this program.,negative
I hate the app.,negative
"Overall, the interface is broken.",negative
"I tried to like the service, but it is terrible.",negative
The test for the terminal interface finished at noon.,neutral
"Overall, the experience is helpful.",positive
"Overall, this application is fantastic.",positive
"Overall, this software is poorly designed.",negative
"This application looked promising, but now I hate it.",negative
I am impressed by the design.,positive
"I expected this tool to be good, but it is actually bad.",negative
"Overall, the update is fast and clean.",positive
This tool is worse than before.,negative
"This program has problems, but overall I am happy with it.",positive
This application is a big improvement.,positive
The service is a mess.,negative
"I expected the interface to be bad, but it is actually good.",positive
I would not call the app bad at all.,positive
The product ran yesterday.,neutral
The terminal interface updated on my computer.,neutral
I absolutely regret using the experience.,negative
The service is helpful.,positive
The terminal interface saved a file without an error.,neutral
The service is unpleasant.,negative
I absolutely enjoy this software.,positive
The system is not terrible.,positive
I love the interface.,positive
The product is a mess.,negative
The experience displayed a message in the terminal.,neutral
This application opened after lunch.,neutral
The workflow is fast and clean.,positive
The service is a big improvement.,positive
I am unhappy with the system.,negative
I regret using this tool.,negative
I absolutely enjoy the service.,positive
"I expected the design to be good, but it is actually bad.",negative
The product saved a file in the terminal.,neutral
This tool is bad.,negative
The design is not terrible.,positive
This software displayed a message for ten minutes.,neutral
The terminal interface closed on my computer.,neutral
"Overall, this feature is easy to use.",positive
The terminal interface updated without an error.,neutral
I absolutely am happy with the service.,positive
The app is impressive.,positive
"Overall, the system is slow.",negative
The design is helpful.,positive
The update is frustrating.,negative
I appreciate the system.,positive
I absolutely love the service.,positive
The experience is easy to use.,positive
"Overall, this program is frustrating.",negative
"Overall, the design is unreliable.",negative
I don't dislike the interface.,positive
"Overall, this feature is unpleasant.",negative
"Overall, the design is hard to use.",negative
This program is wonderful.,positive
"The experience has problems, but overall I am happy with it.",positive
"I expected this software to be good, but it is actually bad.",negative
This tool was installed yesterday.,neutral
"Overall, the system is reliable.",positive
This feature started yesterday.,neutral
The product displayed a message in the terminal.,neutral
"Overall, the update is annoying.",negative
This tool closed without an error.,neutral
This program is unpleasant.,negative
I absolutely do not enjoy the terminal interface.,negative
I am disappointed with the experience.,negative
This application ran at nine o clock.,neutral
The service is not useful.,negative
"Overall, the app is hard to use.",negative
That was actually pretty good.,positive
This feature finished in the terminal.,neutral
The system produced three output values.,neutral
"Overall, the system is excellent.",positive
This feature is terrible.,negative
The terminal interface is great.,positive
I love the product.,positive
"I expected this program to be good, but it is actually bad.",negative
The design is not bad.,positive
"Overall, the interface is hard to use.",negative
I thought this was going to be terrible but it is actually pretty good.,positive
The design loaded this morning.,neutral
"Overall, this tool is frustrating.",negative
I absolutely recommend the update.,positive
"The service has problems, but overall I am happy with it.",positive
The interface started for ten minutes.,neutral
I am pleased with the update.,positive
The experience connected yesterday.,neutral
The update started after lunch.,neutral
I absolutely enjoy the system.,positive
I would not call the service good.,negative
The service saved a file in the terminal.,neutral
"Overall, the experience is solid.",positive
I appreciate the product.,positive
"Overall, this program is smooth.",positive
"I tried to like this program, but it is terrible.",negative
This software updated without an error.,neutral
"Honestly, this is frustrating.",negative
The product finished yesterday.,neutral
The product connected at nine o clock.,neutral
I absolutely am happy with this tool.,positive
This tool saved a file for ten minutes.,neutral
This feature displayed a message yesterday.,neutral
The update updated after lunch.,neutral
This software is better than I expected.,positive
I absolutely am impressed by the workflow.,positive
The system is awful.,negative
The design loaded without an error.,neutral
I absolutely love the workflow.,positive
I really dislike this feature.,negative
The interface updated on my computer.,neutral
I am pleased with the design.,positive
The terminal interface loaded for ten minutes.,neutral
The product closed this morning.,neutral
"Overall, the product is worse than before.",negative
I am happy with the app.,positive
The service is frustrating.,negative
I absolutely love the interface.,positive
This program produced three output values.,neutral
"Overall, this feature is terrible.",negative
You spoke for about two minutes.,neutral
This application is terrible.,negative
This feature is solid.,positive
"Overall, the terminal interface is a mess.",negative
The service finished on my computer.,neutral
"Overall, this feature is broken.",negative
This tool is useful.,positive
I would not recommend the experience.,negative
The update is solid.,positive
The update displayed a message after lunch.,neutral
The terminal interface is bad.,negative
"Overall, the product is smooth.",positive
The update displayed a message on my computer.,neutral
I really dislike the experience.,negative
"Overall, the service is easy to use.",positive
This application updated without an error.,neutral
The product is frustrating.,negative
"Overall, the product is confusing.",negative
I love the design.,positive
"Overall, this application is wonderful.",positive
This tool started yesterday.,neutral
The experience is a big improvement.,positive
This program finished in the terminal.,neutral
The update updated at nine o clock.,neutral
The interface is a mess.,negative
I am unhappy with this tool.,negative
I am happy with this application.,positive
The workflow is disappointing.,negative
I absolutely appreciate the workflow.,positive
I prefer the workflow.,positive
"Overall, this feature is well designed.",positive
I absolutely do not enjoy this feature.,negative
The system connected in the terminal.,neutral
This application started after lunch.,neutral
I absolutely really dislike this program.,negative
I absolutely regret using this application.,negative
This software loaded after lunch.,neutral
"I expected this application to be good, but it is actually bad.",negative
I don't enjoy this feature.,negative
This feature ran during the test.,neutral
The service ran without an error.,neutral
"Overall, the interface is bad.",negative
The interface is a big improvement.,positive
The terminal interface connected without an error.,neutral
This feature is excellent.,positive
The product connected for ten minutes.,neutral
The update is annoying.,negative
I regret using this application.,negative
I absolutely prefer the update.,positive
I absolutely do not enjoy the workflow.,negative
The interface finished yesterday.,neutral
This program is not terrible.,positive
The app connected without an error.,neutral
The system is excellent.,positive
This software is helpful.,positive
The design is fast and clean.,positive
The experience is solid.,positive
The service started for ten minutes.,neutral
I absolutely recommend the app.,positive
The workflow is slow.,negative
The product updated without an error.,neutral
The workflow saved a file after the update.,neutral
I clicked a button in the experience.,neutral
This feature opened in the terminal.,neutral
I prefer this tool.,positive
This software is not good.,negative
I absolutely appreciate the experience.,positive
The workflow is wonderful.,positive
The system loaded this morning.,neutral
The interface ran after lunch.,neutral
I recommend the product.,positive
This tool is terrible.,negative
The service is confusing.,negative
"Overall, the service is pleasant.",positive
The update closed on my computer.,neutral
The experience closed in the terminal.,neutral
"Overall, the design is unpleasant.",negative
This tool is impressive.,positive
The system started on my computer.,neutral
The update updated this morning.,neutral
I really dislike the app.,negative
I am impressed by the experience.,positive
The design finished during the test.,neutral
The experience is well designed.,positive
This feature is annoying.,negative
I absolutely cannot stand the workflow.,negative
This feature ran after lunch.,neutral
The experience is awful.,negative
This application produced three output values.,neutral
This feature loaded for ten minutes.,neutral
I absolutely do not enjoy the design.,negative
The terminal interface started at nine o clock.,neutral
"Overall, the app is unreliable.",negative
I don't dislike this software.,positive
This application finished on my computer.,neutral
I absolutely enjoy the product.,positive
This software updated after lunch.,neutral
This tool is easy to use.,positive
"Overall, the workflow is slow.",negative
"Overall, the app is unpleasant.",negative
The workflow is worse than I expected.,negative
The design saved a file on my computer.,neutral
I absolutely prefer the interface.,positive
The interface loaded after the update.,neutral
The interface is fast and clean.,positive
"I expected this feature to be good, but it is actually bad.",negative
The product loaded this morning.,neutral
I regret using this feature.,negative
This tool is unpleasant.,negative
I regret using the experience.,negative
"Overall, the interface is poorly designed.",negative
The product saved a file this morning.,neutral
The interface is terrible.,negative
"Overall, the update is easy to use.",positive
This feature updated after the update.,neutral
This application ran in the terminal.,neutral
I really dislike the update.,negative
I do not enjoy the terminal interface.,negative
I am not happy with how this works.,negative
I absolutely enjoy this application.,positive
"Overall, this application is pleasant.",positive
The terminal interface updated during the test.,neutral
I enjoy the design.,positive
"The update looked promising, but now I hate it.",negative
I would not call the workflow bad at all.,positive
I absolutely hate the interface.,negative
"Overall, the experience is fantastic.",positive
I don't dislike the design.,positive
The experience ran during the test.,neutral
I absolutely would not recommend the app.,negative
I absolutely regret using the product.,negative
I absolutely recommend the experience.,positive
The product opened without an error.,neutral
I am disappointed with the workflow.,negative
The workflow is fantastic.,positive
The service loaded after the update.,neutral
The update closed yesterday.,neutral
"Overall, the design is a mess.",negative
"Overall, the app is annoying.",negative
This program started in the terminal.,neutral
This software opened without an error.,neutral
This feature is well designed.,positive
I absolutely love the experience.,positive
I really dislike the terminal interface.,negative
"I tried to like the product, but it is terrible.",negative
"Overall, this program is well designed.",positive
"Overall, this tool is fast and clean.",positive
The experience is not good.,negative
I absolutely am unhappy with this tool.,negative
The button is located below the text box.,neutral
"Overall, the experience is easy to use.",positive
The design updated for ten minutes.,neutral
The interface opened after the update.,neutral
"The product was frustrating at first, but now I like it.",positive
The service started during the test.,neutral
The design is worse than I expected.,negative
The product is confusing.,negative
The interface saved a file without an error.,neutral
This application is worse than I expected.,negative
I absolutely recommend this feature.,positive
I absolutely am annoyed by this software.,negative
I am happy with the service.,positive
The update is bad.,negative
The terminal interface is worse than before.,negative
The product connected during the test.,neutral
I do not like the service.,negative
The workflow started after lunch.,neutral
The update ran after the update.,neutral
The product is terrible.,negative
This feature has a menu and several buttons.,neutral
I love the service.,positive
I absolutely recommend the system.,positive
I appreciate the update.,positive
The workflow ran after lunch.,neutral
I enjoy this feature.,positive
The system is better than I expected.,positive
I don't enjoy this program.,negative
I don't dislike this tool.,positive
This software is solid.,positive
I am pleased with the app.,positive
"Overall, this program is helpful.",positive
I would not call this tool good.,negative
The update is worse than I expected.,negative
The service is better than I expected.,positive
The terminal interface updated after lunch.,neutral
The app started after lunch.,neutral
This program updated for ten minutes.,neutral
The design connected at nine o clock.,neutral
"Overall, the update is pleasant.",positive
The system is solid.,positive
"Overall, the update is a mess.",negative
"Overall, the terminal interface is useful.",positive
The workflow ran without an error.,neutral
"Overall, this tool is bad.",negative
I would not call the workflow good.,negative
The design is well designed.,positive
The experience updated in the terminal.,neutral
The app loaded for ten minutes.,neutral
This tool displayed a message at nine o clock.,neutral
I hate the product.,negative
I absolutely love the terminal interface.,positive
The workflow is not bad.,positive
I am unhappy with the interface.,negative
This application is not terrible.,positive
I absolutely am disappointed with this feature.,negative
I am annoyed by the service.,negative
The design updated this morning.,neutral
I absolutely feel good about the terminal interface.,positive
This program loaded this morning.,neutral
"I expected this software to be bad, but it is actually good.",positive
This feature is hard to use.,negative
The interface updated yesterday.,neutral
The app displayed a message at nine o clock.,neutral
"Overall, this application is bad.",negative
The service connected during the test.,neutral
"I expected the system to be good, but it is actually bad.",negative
The service connected yesterday.,neutral
"I expected the terminal interface to be good, but it is actually bad.",negative
The experience finished after the update.,neutral
This tool is not useful.,negative
I absolutely prefer the terminal interface.,positive
I hate the interface.,negative
"Overall, the interface is impressive.",positive
I absolutely hate this program.,negative
I absolutely feel good about the service.,positive
"Overall, the app is bad.",negative
The terminal interface is wonderful.,positive
The app is unreliable.,negative
The design started for ten minutes.,neutral
The app updated this morning.,neutral
"Overall, the design is pleasant.",positive
The update started this morning.,neutral
The service is poorly designed.,negative
"I expected this tool to be bad, but it is actually good.",positive
"Overall, this tool is reliable.",positive
The update connected in the terminal.,neutral
The workflow started during the test.,neutral
The service saved a file during the test.,neutral
The terminal interface is excellent.,positive
"Overall, the product is a mess.",negative
I hate the update.,negative
I absolutely really dislike this software.,negative
"Overall, the experience is well designed.",positive
"Overall, this feature is great.",positive
I absolutely hate the product.,negative
I absolutely am happy with the interface.,positive
I absolutely recommend the terminal interface.,positive
"Overall, the app is solid.",positive
This program saved a file after lunch.,neutral
I absolutely am frustrated by this feature.,negative
"The update has problems, but overall I am happy with it.",positive
I would not call this feature bad at all.,positive
I absolutely cannot stand this software.,negative
The update finished without an error.,neutral
"Overall, the workflow is poorly designed.",negative
The design loaded yesterday.,neutral
This program is frustrating.,negative
I am happy with the product.,positive
The design ran this morning.,neutral
"Overall, this feature is worse than before.",negative
The service is great.,positive
This software opened at nine o clock.,neutral
"Overall, the product is fantastic.",positive
The system updated for ten minutes.,neutral
I cannot stand the terminal interface.,negative
I hate this tool.,negative
This feature opened after lunch.,neutral
I absolutely would not recommend the workflow.,negative
I do not enjoy the design.,negative
The experience ran after lunch.,neutral
"Overall, the terminal interface is awful.",negative
I would not recommend this feature.,negative
"Overall, the design is excellent.",positive
The product is smooth.,positive
The workflow opened on my computer.,neutral
The app closed on my computer.,neutral
I absolutely am happy with the design.,positive
"Overall, this feature is fast and clean.",positive
"Overall, this program is reliable.",positive
The experience loaded after the update.,neutral
This application started yesterday.,neutral
"Overall, this software is annoying.",negative
This feature is worse than I expected.,negative
"Overall, the service is worse than before.",negative
I feel good about the system.,positive
"Overall, the design is annoying.",negative
The update opened for ten minutes.,neutral
"Overall, the experience is slow.",negative
I do not enjoy the product.,negative
The workflow displayed a message at nine o clock.,neutral
The terminal interface ran this morning.,neutral
This software is easy to use.,positive
The app is smooth.,positive
The experience finished after lunch.,neutral
This feature is pleasant.,positive
I don't dislike this feature.,positive
I absolutely really dislike the interface.,negative
This software ran after the update.,neutral
The experience displayed a message during the test.,neutral
This software is impressive.,positive
"Overall, the workflow is helpful.",positive
"I expected this application to be bad, but it is actually good.",positive
I absolutely am annoyed by the service.,negative
I absolutely would not recommend the system.,negative
"Overall, the system is a mess.",negative
This tool is worse than I expected.,negative
I absolutely enjoy this tool.,positive
I absolutely love the update.,positive
I absolutely am annoyed by the app.,negative
The experience started during the test.,neutral
The design finished at nine o clock.,neutral
I appreciate this application.,positive
The design finished this morning.,neutral
The product saved a file at nine o clock.,neutral
The update is version two point two.,neutral
The app loaded on my computer.,neutral
This feature closed yesterday.,neutral
This software connected without an error.,neutral
"Overall, the service is unreliable.",negative
"Overall, the experience is pleasant.",positive
This tool opened at nine o clock.,neutral
"The product has a few nice ideas, but overall it is frustrating.",negative
I prefer the experience.,positive
The terminal interface is worse than I expected.,negative
The experience displayed a message yesterday.,neutral
"Overall, the terminal interface is frustrating.",negative
"Overall, this feature is fantastic.",positive
I absolutely really like the design.,positive
I really dislike the interface.,negative
This program connected after the update.,neutral
I am happy with the interface.,positive
The interface is excellent.,positive
The terminal interface displayed a message after the update.,neutral
The system closed yesterday.,neutral
I love this program.,positive
I really dislike the product.,negative
"Overall, the design is awful.",negative
This feature started this morning.,neutral
"Overall, this program is confusing.",negative
This application is wonderful.,positive
The workflow is unpleasant.,negative
The service ran this morning.,neutral
"Overall, this program is bad.",negative
This tool is slow.,negative
I do not hate the workflow.,positive
The workflow ran on my computer.,neutral
The workflow is bad.,negative
The interface opened yesterday.,neutral
The workflow connected for ten minutes.,neutral
The system saved a file yesterday.,neutral
I absolutely appreciate this feature.,positive
The terminal interface finished at nine o clock.,neutral
I appreciate the workflow.,positive
I don't enjoy the interface.,negative
The service is wonderful.,positive
I am unhappy with the experience.,negative
"Overall, the workflow is a big improvement.",positive
I absolutely am happy with this application.,positive
"I almost gave up on this feature, but it turned out great.",positive
The experience is reliable.,positive
I absolutely really dislike the design.,negative
The system opened yesterday.,neutral
"Overall, the terminal interface is smooth.",positive
I absolutely am disappointed with the interface.,negative
I absolutely am disappointed with this program.,negative
The design closed at nine o clock.,neutral
The product opened for ten minutes.,neutral
I would not call the system good.,negative
"Overall, the update is slow.",negative
The design is solid.,positive
I would not call the experience good.,negative
I would not call the interface good.,negative
I absolutely am unhappy with this program.,negative
I absolutely do not enjoy the system.,negative
The product is disappointing.,negative
I absolutely am happy with this feature.,positive
"Overall, the workflow is broken.",negative
The app is bad.,negative
"Overall, the experience is a big improvement.",positive
The system loaded after the update.,neutral
The app connected for ten minutes.,neutral
The design loaded during the test.,neutral
This application loaded yesterday.,neutral
I am pleased with this application.,positive
The app opened in the terminal.,neutral
"Overall, this feature is smooth.",positive
I don't enjoy the experience.,negative
The app displayed a message this morning.,neutral
The update finished in the terminal.,neutral
"Overall, the experience is worse than before.",negative
The product is hard to use.,negative
The experience opened for ten minutes.,neutral
The update finished this morning.,neutral
I absolutely regret using the workflow.,negative
The app is frustrating.,negative
The design ran yesterday.,neutral
The documentation mentions this feature.,neutral
The service opened on my computer.,neutral
The service contains a training page.,neutral
This application opened this morning.,neutral
This software is slow.,negative
